well id,day,median pixel intensity,mw_area shape,hyst1 area,hyst2 area
0,0,125.0,7830,512,418
1,0,125.0,8265,3044,3008
2,0,127.0,8280,30,0
3,0,128.0,8096,121,0
4,0,128.0,8544,82,0
5,0,129.0,8099,341,301
6,0,129.0,8280,33,0
7,0,128.0,8084,40,0
8,0,129.0,8550,21,0
9,0,131.0,6006,0,0
10,0,131.0,6800,15,0
11,0,131.0,8280,432,44
12,0,131.0,6004,11,0
13,0,131.0,6160,9,0
14,0,131.0,8272,785,741
15,0,131.0,9476,78,0
16,0,132.0,8190,27,0
17,0,131.0,6241,25,0
18,0,131.0,8463,741,626
19,0,131.0,8930,39,0
20,0,126.0,8188,65,0
21,0,127.0,8190,907,900
22,0,128.0,8188,82,0
23,0,128.0,8280,1556,1523
24,0,129.0,8556,16,0
25,0,127.0,14732,4191,3398
26,0,129.0,8463,42,0
27,0,130.0,8556,13,0
28,0,129.0,8832,38,0
29,0,131.0,8645,370,359
30,0,131.0,6885,16,0
31,0,131.0,6162,14,0
32,0,131.0,6320,35,0
33,0,132.0,6318,38,0
34,0,133.0,6480,13,0
35,0,132.0,9690,552,517
36,0,132.0,6320,4,0
37,0,131.0,8460,24,0
38,0,132.0,6400,2,0
39,0,131.0,6318,11,0
40,0,127.0,8463,234,184
41,0,127.0,8463,282,191
42,0,127.0,4757,1899,1870
43,0,128.0,8178,22,0
44,0,129.0,8928,52,0
45,0,130.0,9858,599,539
46,0,130.0,8099,357,311
47,0,131.0,8455,34,0
48,0,132.0,6399,12,0
49,0,132.0,6318,12,0
50,0,132.0,6800,32,0
51,0,132.0,6162,590,565
52,0,132.0,6075,21,0
53,0,133.0,6480,40,0
54,0,132.0,6399,16,0
55,0,132.0,7410,2,0
56,0,132.0,6560,4,0
57,0,132.0,8640,5,0
58,0,132.0,8742,3,0
59,0,132.0,6399,79,59
60,0,128.0,8800,12,0
61,0,128.0,8188,15,0
62,0,129.0,8280,44,0
63,0,130.0,8366,23,0
64,0,130.0,8439,101,0
65,0,130.0,9630,66,0
66,0,130.0,12947,2796,2573
67,0,131.0,8455,686,636
68,0,132.0,6561,47,0
69,0,132.0,6478,11,0
70,0,131.0,8648,7,0
71,0,132.0,6240,43,0
72,0,132.0,6480,6,0
73,0,132.0,6399,16,0
74,0,132.0,6560,10,0
75,0,132.0,33124,13345,12605
76,0,131.0,6480,10,0
77,0,132.0,9737,21,0
78,0,131.0,33124,12651,12482
79,0,131.0,9737,16,0
80,0,128.0,8722,153,83
81,0,128.0,8370,10,0
82,0,129.0,8649,9,0
83,0,130.0,8366,6,0
84,0,130.0,8736,29,0
85,0,131.0,9612,87,0
86,0,131.0,9752,114,0
87,0,131.0,9844,12,0
88,0,132.0,7426,14,0
89,0,133.0,7600,40,0
90,0,132.0,7912,7,0
91,0,131.0,33124,14350,13574
92,0,132.0,6080,24,0
93,0,131.0,8550,11,0
94,0,132.0,33124,12398,12124
95,0,132.0,8740,32,0
96,0,131.0,8370,19,0
97,0,131.0,6084,21,0
98,0,131.0,8256,314,228
99,0,132.0,6142,17,0
100,0,129.0,10403,208,0
101,0,129.0,8280,399,365
102,0,130.0,8827,121,0
103,0,130.0,8464,9,0
104,0,131.0,8280,140,0
105,0,131.0,9592,162,0
106,0,131.0,8460,79,0
107,0,132.0,8463,647,443
108,0,131.0,8645,78,0
109,0,133.0,6561,24,0
110,0,133.0,8740,76,0
111,0,132.0,6237,14,0
112,0,132.0,6240,7,0
113,0,132.0,7905,23,0
114,0,132.0,6468,11,0
115,0,132.0,6720,10,0
116,0,132.0,6162,26,0
117,0,131.0,8460,21,0
118,0,131.0,8428,48,0
119,0,130.0,8282,121,0
120,0,130.0,9494,8,0
121,0,130.0,8550,10,0
122,0,130.0,8370,7,0
123,0,130.0,8372,16,0
124,0,131.0,8463,1263,1249
125,0,131.0,7680,4,0
126,0,132.0,8004,15,0
127,0,132.0,8448,33,0
128,0,132.0,8544,497,459
129,0,132.0,6480,5,0
130,0,134.0,6806,46,0
131,0,133.0,6240,39,0
132,0,133.0,6318,7,0
133,0,134.0,6720,15,0
134,0,133.0,6237,62,0
135,0,132.0,5751,13,0
136,0,131.0,8245,39,0
137,0,131.0,8051,21,0
138,0,131.0,33124,13283,13113
139,0,131.0,7154,35,0
140,0,130.0,9167,64,0
141,0,131.0,8184,64,0
142,0,131.0,8008,74,0
143,0,131.0,6318,5,0
144,0,131.0,6075,0,0
145,0,132.0,6391,21,0
146,0,132.0,8455,38,0
147,0,133.0,6320,22,0
148,0,133.0,6318,13,0
149,0,134.0,6560,49,0
150,0,134.0,8832,1157,1062
151,0,133.0,6150,2,0
152,0,134.0,6160,24,0
153,0,134.0,6150,12,0
154,0,133.0,5822,30,0
155,0,133.0,5346,14,0
156,0,131.0,7857,51,0
157,0,131.0,7081,17,0
158,0,131.0,6693,40,0
159,0,132.0,6208,35,0
160,0,131.0,9270,136,24
161,0,131.0,8455,78,0
162,0,131.0,6156,13,0
163,0,132.0,6150,25,0
164,0,132.0,6474,18,0
165,0,132.0,33124,12503,12122
166,0,132.0,6480,69,0
167,0,133.0,6400,25,0
168,0,133.0,6318,11,0
169,0,134.0,6972,59,47
170,0,134.0,6966,18,0
171,0,134.0,6474,31,0
172,0,133.0,5994,3,0
173,0,134.0,5440,26,0
174,0,131.0,6664,26,0
175,0,133.0,4860,24,0
176,0,131.0,33124,13139,13036
177,0,131.0,4440,6,0
178,0,131.0,33124,13085,12955
179,0,131.0,3360,5,0
180,0,131.0,8550,12,0
181,0,132.0,6400,8,0
182,0,131.0,6160,8,0
183,0,132.0,9024,58,0
184,0,133.0,6474,36,0
185,0,133.0,6723,12,0
186,0,132.0,6478,40,0
187,0,133.0,6320,12,0
188,0,134.0,6642,31,0
189,0,134.0,7224,46,0
190,0,134.0,6786,29,0
191,0,134.0,6384,12,0
192,0,133.0,5589,10,0
193,0,133.0,5103,10,0
194,0,133.0,6435,451,421
195,0,133.0,33124,13117,13014
