well id,day,median pixel intensity,mw_area shape,hyst1 area,hyst2 area
0,0,128.0,8370,805,323
1,0,127.0,12733,3426,3266
2,0,127.0,8184,858,240
3,0,127.0,8370,544,229
4,0,127.0,8372,202,123
5,0,128.0,33124,13249,12935
6,0,126.0,11021,1215,730
7,0,125.0,9630,2266,2069
8,0,125.0,9373,1971,1973
9,0,126.0,9464,1081,1102
10,0,127.0,9672,673,730
11,0,127.0,14637,4456,4069
12,0,126.0,8460,1788,1732
13,0,126.0,8370,1328,1278
14,0,127.0,8460,902,654
15,0,127.0,8352,346,0
16,0,127.0,9776,860,726
17,0,126.0,8455,1247,999
18,0,126.0,8096,287,0
19,0,127.0,8280,436,311
20,0,127.0,8190,839,282
21,0,127.0,8460,1861,1836
22,0,128.0,8178,1185,1137
23,0,127.0,8277,1047,478
24,0,128.0,8366,163,0
25,0,128.0,8190,46,0
26,0,127.0,9486,391,0
27,0,126.0,8096,680,308
28,0,126.0,8280,179,0
29,0,126.0,8190,14,0
30,0,127.0,8184,57,0
31,0,126.0,8924,20,0
32,0,125.0,8281,461,409
33,0,126.0,8366,35,0
34,0,125.0,8372,14,0
35,0,125.0,8455,329,128
36,0,126.0,9540,24,0
37,0,124.0,9991,727,578
38,0,125.0,9800,261,0
39,0,126.0,9785,36,0
40,0,128.0,8463,2392,2170
41,0,127.0,8463,2179,2117
42,0,128.0,8188,1419,1329
43,0,128.0,8366,1535,1281
44,0,128.0,8280,235,0
45,0,127.0,8190,64,0
46,0,126.0,8360,1165,1061
47,0,126.0,8280,1347,878
48,0,125.0,8096,266,0
49,0,126.0,8190,41,0
50,0,126.0,8277,10,0
51,0,126.0,8649,776,502
52,0,125.0,8272,33,0
53,0,125.0,7912,1236,1100
54,0,125.0,8184,299,242
55,0,126.0,8463,37,0
56,0,125.0,9672,3,0
57,0,125.0,8188,18,0
58,0,125.0,8099,33,0
59,0,125.0,8366,38,0
60,0,128.0,8556,1438,1406
61,0,127.0,8281,2472,2413
62,0,127.0,8099,1670,1597
63,0,128.0,8075,1081,770
64,0,128.0,8277,614,103
65,0,128.0,8188,340,259
66,0,125.0,8277,1662,1610
67,0,126.0,8188,1132,1056
68,0,126.0,8281,500,25
69,0,126.0,8277,851,535
70,0,126.0,8190,30,0
71,0,126.0,8740,331,0
72,0,126.0,8280,38,0
73,0,126.0,7920,86,0
74,0,126.0,8372,21,0
75,0,126.0,8280,9,0
76,0,125.0,9672,692,588
77,0,125.0,8554,217,0
78,0,125.0,8366,28,0
79,0,126.0,8366,24,0
80,0,126.0,8460,2036,1993
81,0,127.0,8099,2558,2517
82,0,126.0,8184,2010,1951
83,0,127.0,8188,1403,1356
84,0,127.0,8366,1151,933
85,0,127.0,8277,241,0
86,0,125.0,8370,1686,1603
87,0,125.0,8372,1342,1047
88,0,126.0,8280,1022,605
89,0,126.0,8280,208,0
90,0,126.0,8370,42,0
91,0,126.0,8464,169,0
92,0,126.0,8184,76,0
93,0,126.0,8096,41,0
94,0,126.0,8188,14,0
95,0,125.0,4692,1583,1570
96,0,125.0,9464,158,123
97,0,125.0,8281,448,369
98,0,126.0,8256,89,0
99,0,126.0,8099,56,0
100,0,126.0,9090,2694,2637
101,0,124.0,8463,3152,3069
102,0,126.0,8372,2307,2185
103,0,126.0,8277,1764,1729
104,0,126.0,5254,2490,2487
105,0,127.0,8372,547,60
106,0,125.0,8372,1994,1845
107,0,125.0,8178,1610,1444
108,0,126.0,8624,1485,1396
109,0,126.0,8370,429,0
110,0,126.0,8372,116,0
111,0,124.0,8277,479,31
112,0,122.0,8099,101,0
113,0,123.0,8190,14,0
114,0,126.0,8372,85,0
115,0,126.0,8281,6,0
116,0,124.0,9682,75,0
117,0,125.0,8091,510,308
118,0,125.0,8091,76,0
119,0,126.0,8366,38,0
120,0,123.0,9999,2183,1975
121,0,122.0,10752,3321,2902
122,0,124.0,8004,2629,2585
123,0,125.0,8633,2306,2210
124,0,126.0,8463,1253,1189
125,0,127.0,8550,1034,630
126,0,124.0,8277,2064,1966
127,0,125.0,8178,1791,1706
128,0,125.0,8556,1308,1199
129,0,126.0,8277,1030,738
130,0,125.0,8366,403,266
131,0,122.0,8188,2536,2015
132,0,122.0,8370,202,0
133,0,124.0,8272,129,0
134,0,126.0,8190,319,278
135,0,125.0,8550,30,0
136,0,122.0,8281,12,0
137,0,125.0,8100,48,0
138,0,126.0,8010,33,0
139,0,126.0,8188,358,178
140,0,124.0,8800,736,619
141,0,122.0,8188,854,213
142,0,121.0,5963,2292,2133
143,0,125.0,8277,50,0
144,0,125.0,8280,14,0
145,0,125.0,14616,3633,3288
146,0,123.0,8184,10,0
147,0,123.0,9270,903,921
148,0,123.0,9595,550,538
149,0,123.0,9700,549,125
150,0,125.0,9384,38,0
151,0,124.0,9504,365,0
152,0,124.0,9021,654,158
153,0,126.0,8463,26,0
154,0,126.0,8099,45,0
155,0,124.0,8178,29,0
156,0,123.0,8280,14,0
157,0,125.0,8099,13,0
158,0,125.0,8366,29,0
159,0,125.0,8184,54,0
160,0,124.0,8989,852,758
161,0,56.0,37249,2423544,2423544
162,0,53.0,8178,554,500
163,0,55.0,37249,2287854,2287854
164,0,126.0,8277,25,0
165,0,125.0,9600,752,586
166,0,123.0,8281,52,0
167,0,123.0,8272,11,0
168,0,124.0,8010,24,0
169,0,124.0,8554,12,0
170,0,124.0,8556,29,0
171,0,122.0,8190,135,0
172,0,119.0,8188,24,0
173,0,123.0,8099,2,0
174,0,123.0,8272,20,0
175,0,123.0,8352,25,0
176,0,122.0,8460,4,0
177,0,123.0,8372,12,0
178,0,123.0,9450,29,0
179,0,123.0,9555,46,0
180,0,124.0,8700,2222,1931
181,0,58.0,37249,2571397,2571397
182,0,54.0,37249,1977028,1977028
183,0,56.0,37249,2423883,2423883
184,0,125.0,8190,349,119
185,0,124.0,9785,1304,1062
186,0,123.0,8178,396,39
187,0,123.0,8272,73,0
188,0,124.0,8190,13,0
189,0,124.0,8272,101,0
190,0,124.0,8484,398,328
191,0,117.0,8190,39,0
192,0,113.0,7743,73,0
193,0,121.0,7826,18,0
194,0,124.0,8277,7,0
195,0,123.0,8544,17,0
196,0,123.0,8004,195,0
197,0,122.0,8272,31,0
198,0,123.0,8188,60,0
199,0,124.0,8184,25,0
200,0,125.0,8976,1823,1698
201,0,123.0,8277,2040,1896
202,0,125.0,6225,786,386
203,0,125.0,8645,876,271
204,0,125.0,8277,394,327
205,0,124.0,9765,793,679
206,0,123.0,8099,1221,968
207,0,124.0,8280,68,0
208,0,124.0,8360,79,0
209,0,124.0,8184,60,0
210,0,124.0,8900,12,0
211,0,119.0,8190,55,0
212,0,118.0,8004,30,0
213,0,123.0,8008,20,0
214,0,125.0,8184,4,0
215,0,124.0,8277,6,0
216,0,123.0,8004,18,0
217,0,122.0,8008,88,0
218,0,123.0,33124,11692,11303
219,0,124.0,8008,118,0
220,0,124.0,10100,3479,3394
221,0,124.0,8188,2369,2292
222,0,124.0,8360,1641,1616
223,0,124.0,8550,1085,810
224,0,125.0,8370,301,0
225,0,124.0,9752,827,725
226,0,122.0,8372,774,300
227,0,124.0,8281,276,0
228,0,123.0,8190,347,326
229,0,124.0,8281,16,0
230,0,124.0,8918,61,0
231,0,124.0,8188,18,0
232,0,125.0,8188,26,0
233,0,125.0,8096,19,0
234,0,125.0,8554,83,0
235,0,124.0,9844,99,0
236,0,123.0,8280,13,0
237,0,124.0,8184,29,0
238,0,124.0,8099,37,0
239,0,124.0,8372,41,0
240,0,124.0,9405,3610,3539
241,0,124.0,8277,2451,2377
242,0,124.0,8554,2185,2124
243,0,125.0,8280,1231,1084
244,0,125.0,8645,841,272
245,0,122.0,9256,679,564
246,0,118.0,7830,949,738
247,0,120.0,8265,662,487
248,0,121.0,8277,55,0
249,0,124.0,8190,31,0
250,0,124.0,8835,16,0
251,0,125.0,8190,25,0
252,0,125.0,8370,198,0
253,0,125.0,8360,84,0
254,0,125.0,8360,152,0
255,0,124.5,9568,1713,1607
256,0,124.0,8370,28,0
257,0,124.0,8188,204,83
258,0,123.0,8272,213,187
259,0,124.0,8463,12,0
260,0,123.0,9660,2031,1762
261,0,124.0,9701,2028,1761
262,0,124.0,9434,1754,1565
263,0,125.0,8554,1589,1535
264,0,125.0,8742,886,359
265,0,121.0,8008,1544,1519
266,0,121.0,8281,1310,1180
267,0,121.0,8190,314,25
268,0,123.0,8463,872,591
269,0,124.0,8004,12,0
270,0,125.0,8832,921,749
271,0,124.0,8464,342,254
272,0,125.0,8463,53,0
273,0,125.0,8277,9,0
274,0,125.0,8370,40,0
275,0,125.0,9555,56,0
276,0,124.0,8184,40,0
277,0,123.0,8554,1364,1328
278,0,124.0,8277,27,0
279,0,124.0,8272,19,0
280,0,122.0,8360,1380,1285
281,0,123.0,8096,511,49
282,0,123.0,8280,139,0
283,0,124.0,8463,144,76
284,0,124.0,8277,142,0
285,0,122.0,8096,105,0
286,0,121.0,8280,424,389
287,0,122.0,8372,24,0
288,0,122.0,9312,182,0
289,0,123.0,9595,184,0
290,0,123.0,9984,6,0
291,0,123.0,9191,737,669
292,0,124.0,9292,21,0
293,0,124.0,9416,75,0
294,0,125.0,8277,22,0
295,0,124.0,9568,85,0
296,0,124.0,8370,99,0
297,0,124.0,8370,12,0
298,0,124.0,8464,487,426
299,0,124.0,8536,319,218
300,0,123.0,8277,1526,1462
301,0,122.0,8280,1630,1021
302,0,123.0,8280,232,0
303,0,124.0,8277,12,0
304,0,124.0,8372,348,287
305,0,122.0,8280,251,0
306,0,122.0,8010,1064,910
307,0,122.0,8460,75,0
308,0,122.5,8280,916,883
309,0,122.0,8370,18,0
310,0,123.0,8648,63,0
311,0,123.0,8928,32,0
312,0,122.0,8648,998,963
313,0,122.0,8184,28,0
314,0,123.0,8740,56,0
315,0,122.0,9646,1227,1154
316,0,122.0,8448,29,0
317,0,123.0,8372,10,0
318,0,122.0,8099,25,0
319,0,122.0,9646,435,398
320,0,122.0,8272,2138,2057
321,0,123.0,8556,1936,1890
322,0,123.0,8280,290,0
323,0,124.0,8366,46,0
324,0,124.0,33124,12995,12644
325,0,121.0,8366,638,110
326,0,122.0,8280,7,0
327,0,122.0,8096,339,330
328,0,122.0,8188,191,113
329,0,123.0,8460,673,651
330,0,123.0,8366,48,0
331,0,123.0,8736,32,0
332,0,123.0,8372,36,0
333,0,122.0,5698,1527,1499
334,0,123.0,8360,47,0
335,0,123.0,9523,319,0
336,0,123.0,8360,31,0
337,0,123.0,33124,11644,11266
338,0,123.0,8280,36,0
339,0,123.0,8008,93,0
340,0,122.0,8460,2967,2921
341,0,122.0,8256,1739,1676
342,0,124.0,5320,2398,2391
343,0,123.0,8455,256,25
344,0,124.0,8648,8,0
345,0,122.0,8272,964,658
346,0,122.0,8170,236,0
347,0,122.0,12656,2319,2015
348,0,123.0,8372,31,0
349,0,123.0,8928,38,0
350,0,123.0,8281,13,0
351,0,124.0,8188,14,0
352,0,124.0,8277,73,0
353,0,123.0,8265,24,0
354,0,124.0,8366,135,83
355,0,122.0,33124,13402,13095
356,0,122.0,8096,154,110
357,0,123.0,7830,7,0
358,0,123.0,8280,451,388
359,0,123.0,7920,31,0
360,0,123.0,8460,2321,2285
361,0,123.0,8742,2098,2064
362,0,124.0,8360,1025,745
363,0,124.0,8460,315,25
364,0,124.0,9919,1201,1073
365,0,122.0,8091,1800,1315
366,0,122.0,8280,420,73
367,0,122.0,8372,62,0
368,0,123.0,8280,26,0
369,0,122.0,8648,49,0
370,0,124.0,8190,93,0
371,0,124.0,8281,14,0
372,0,124.0,8556,9,0
373,0,124.0,8096,50,0
374,0,124.0,8366,740,712
375,0,123.0,8004,159,0
376,0,123.0,8190,43,0
377,0,123.0,8084,28,0
378,0,124.0,8277,3,0
379,0,123.0,8184,21,0
380,0,123.0,8463,2804,2761
381,0,123.0,8740,2120,2061
382,0,124.0,8740,1896,1845
383,0,124.0,8742,1183,689
384,0,124.0,9737,1092,904
385,0,122.0,8556,1230,1165
386,0,122.0,8366,1185,823
387,0,123.0,8010,43,0
388,0,123.0,8370,57,0
389,0,123.0,8463,90,0
390,0,124.0,8099,61,0
391,0,124.0,8463,14,0
392,0,125.0,8272,15,0
393,0,124.0,8096,139,0
394,0,124.0,8280,6,0
395,0,123.0,8100,21,0
396,0,123.0,7921,30,0
397,0,123.0,7830,35,0
398,0,121.0,7654,22,0
399,0,115.0,8613,5,0
400,0,121.0,8463,524,72
401,0,122.0,8645,204,27
402,0,122.0,8366,410,252
403,0,122.0,8742,17,0
404,0,121.0,10197,141,0
405,0,119.0,8554,43,0
406,0,120.0,9500,415,167
407,0,121.0,9900,1270,1159
408,0,121.0,9016,190,160
409,0,123.0,9785,23,0
410,0,123.0,9595,52,0
411,0,123.0,12932,1969,957
412,0,124.0,8370,10,0
413,0,124.0,7826,25,0
414,0,124.0,7920,52,0
415,0,117.0,33124,14316,13748
416,0,124.0,7744,197,140
417,0,122.0,7826,35,0
418,0,121.0,8188,238,63
419,0,121.0,7744,101,0
420,0,121.0,8455,1334,910
421,0,122.0,8648,314,0
422,0,123.0,8370,10,0
423,0,123.0,8640,97,0
424,0,121.0,9792,78,0
425,0,119.0,8096,32,0
426,0,121.0,8277,445,418
427,0,122.0,8544,386,343
428,0,122.0,8370,77,0
429,0,122.0,8787,12,0
430,0,122.0,8550,63,0
431,0,122.0,7998,13,0
432,0,122.0,8099,13,0
433,0,122.0,7830,148,0
434,0,117.0,33124,15440,14724
435,0,119.0,7920,59,0
436,0,118.0,33124,13600,13131
437,0,119.0,8700,250,165
438,0,120.0,8585,50,0
439,0,121.0,8526,507,440
440,0,122.0,8188,1131,1000
441,0,122.0,8277,687,182
442,0,123.0,8360,446,326
443,0,123.0,8280,12,0
444,0,121.0,9999,1050,904
445,0,120.0,8188,33,0
446,0,121.0,8099,155,49
447,0,122.0,8188,936,858
448,0,122.0,8281,178,0
449,0,122.0,8820,56,0
450,0,122.0,8100,92,0
451,0,122.0,7920,11,0
452,0,120.0,7482,863,637
453,0,119.0,33124,17774,17344
454,0,121.0,9999,362,47
455,0,120.0,7209,193,130
456,0,119.0,7395,103,0
457,0,120.0,7482,60,0
458,0,121.0,7476,26,0
459,0,121.0,7480,18,0
460,0,122.0,8463,2084,2008
461,0,122.0,8550,1390,1010
462,0,123.0,8280,27,0
463,0,123.0,8455,21,0
464,0,121.0,8910,696,125
465,0,121.0,8099,45,0
466,0,122.0,8008,6,0
467,0,122.0,8184,6,0
468,0,122.0,8190,737,592
