well id,day,median pixel intensity,mw_area shape,hyst1 area,hyst2 area
0,0,105.0,8280,239,134
1,0,105.0,11025,1441,1323
2,0,105.0,8649,56,0
3,0,104.0,33124,11408,11392
4,0,103.0,33124,11313,11220
5,0,102.0,7920,1823,1787
6,0,101.0,9408,2373,2336
7,0,101.0,8370,1833,1807
8,0,100.0,8096,1531,1401
9,0,101.0,33124,10297,10208
10,0,99.0,8188,3004,2825
11,0,99.0,33124,10698,10520
12,0,97.0,8188,1701,1601
13,0,97.0,8464,1798,1744
14,0,96.0,8556,1814,1740
15,0,97.0,33124,9278,9114
16,0,95.0,8460,4310,4249
17,0,95.0,8370,3630,3601
18,0,94.0,8190,3389,3349
19,0,94.0,8277,3413,3298
20,0,105.0,7917,47,0
21,0,104.0,13334,3483,3267
22,0,104.0,7830,471,458
23,0,103.0,8099,7,0
24,0,102.0,8281,1074,778
25,0,101.0,8100,1045,736
26,0,101.0,8190,1148,892
27,0,100.0,8190,1126,900
28,0,100.0,8930,1637,1446
29,0,99.0,8648,1407,1204
30,0,98.0,33124,10863,10766
31,0,97.0,8188,1451,1199
32,0,97.0,8463,1332,978
33,0,96.0,8460,1416,1272
34,0,96.0,8100,1080,720
35,0,96.0,33124,9921,9823
36,0,94.0,8372,3446,3429
37,0,94.0,8281,3440,3404
38,0,94.0,8280,3576,3537
39,0,93.0,8008,3111,3076
40,0,105.0,8556,67,0
41,0,105.0,7998,1,0
42,0,104.0,8188,21,0
43,0,103.0,8010,1,0
44,0,102.0,33124,11104,11184
45,0,101.0,9024,736,509
46,0,100.0,8280,410,44
47,0,99.0,8372,578,250
48,0,98.0,33124,10735,10743
49,0,97.0,8190,0,0
50,0,97.0,9405,462,44
51,0,97.0,8455,684,588
52,0,96.0,8280,890,651
53,0,96.0,8372,772,567
54,0,95.0,8464,697,521
55,0,95.0,8463,679,542
56,0,94.0,33124,9878,9770
57,0,93.0,8280,3039,3005
58,0,93.0,8372,3075,3041
59,0,92.0,8190,3108,3085
60,0,104.0,7905,349,304
61,0,103.0,7920,2,0
62,0,103.0,8100,9,0
63,0,102.0,8184,2,0
