,condition,well_id,day_0,well_label,image_name_0,has_cell_0,day_1,image_name_1,has_cell_1,day_2,image_name_2,has_cell_2,day_3,image_name_3,has_cell_3,day_4,image_name_4,has_cell_4,day_5,image_name_5,has_cell_5,day_6,image_name_6,has_cell_6,day_7,image_name_7,has_cell_7,day_8,image_name_8,has_cell_8,day_9,image_name_9,has_cell_9,day_10,image_name_10,has_cell_10,day_11,image_name_11,has_cell_11,day_12,image_name_12,has_cell_12,day_13,image_name_13,has_cell_13
0,A1,0,0,0000,well0000_day00_well.png,1,1,well0000_day01_well.png,1,2,well0000_day02_well.png,1,3,well0000_day03_well.png,1,4,well0000_day04_well.png,1,5,well0000_day05_well.png,1,6,well0000_day06_well.png,1,7,well0000_day07_well.png,1,8,well0000_day08_well.png,0,9,well0000_day09_well.png,1,10,well0000_day10_well.png,1,11,well0000_day11_well.png,0,12,well0000_day12_well.png,1,13,well0000_day13_well.png,1
1,A1,1,0,0001,well0001_day00_well.png,1,1,well0001_day01_well.png,0,2,well0001_day02_well.png,0,3,well0001_day03_well.png,0,4,well0001_day04_well.png,0,5,well0001_day05_well.png,0,6,well0001_day06_well.png,0,7,well0001_day07_well.png,0,8,well0001_day08_well.png,1,9,well0001_day09_well.png,1,10,well0001_day10_well.png,1,11,well0001_day11_well.png,1,12,well0001_day12_well.png,1,13,well0001_day13_well.png,1
2,A1,2,0,0002,well0002_day00_well.png,0,1,well0002_day01_well.png,0,2,well0002_day02_well.png,0,3,well0002_day03_well.png,0,4,well0002_day04_well.png,0,5,well0002_day05_well.png,0,6,well0002_day06_well.png,0,7,well0002_day07_well.png,0,8,well0002_day08_well.png,0,9,well0002_day09_well.png,0,10,well0002_day10_well.png,0,11,well0002_day11_well.png,0,12,well0002_day12_well.png,1,13,well0002_day13_well.png,1
3,A1,4,0,0004,well0004_day00_well.png,0,1,well0004_day01_well.png,0,2,well0004_day02_well.png,0,3,well0004_day03_well.png,0,4,well0004_day04_well.png,0,5,well0004_day05_well.png,0,6,well0004_day06_well.png,0,7,well0004_day07_well.png,0,8,well0004_day08_well.png,0,9,well0004_day09_well.png,0,10,well0004_day10_well.png,0,11,well0004_day11_well.png,0,12,well0004_day12_well.png,0,13,well0004_day13_well.png,0
4,A1,6,0,0006,well0006_day00_well.png,0,1,well0006_day01_well.png,0,2,well0006_day02_well.png,0,3,well0006_day03_well.png,0,4,well0006_day04_well.png,0,5,well0006_day05_well.png,0,6,well0006_day06_well.png,0,7,well0006_day07_well.png,0,8,well0006_day08_well.png,0,9,well0006_day09_well.png,0,10,well0006_day10_well.png,0,11,well0006_day11_well.png,0,12,well0006_day12_well.png,1,13,well0006_day13_well.png,1
5,A1,8,0,0008,well0008_day00_well.png,0,1,well0008_day01_well.png,0,2,well0008_day02_well.png,0,3,well0008_day03_well.png,0,4,well0008_day04_well.png,0,5,well0008_day05_well.png,0,6,well0008_day06_well.png,0,7,well0008_day07_well.png,0,8,well0008_day08_well.png,0,9,well0008_day09_well.png,0,10,well0008_day10_well.png,0,11,well0008_day11_well.png,0,12,well0008_day12_well.png,1,13,well0008_day13_well.png,1
6,A1,9,0,0009,well0009_day00_well.png,0,1,well0009_day01_well.png,0,2,well0009_day02_well.png,1,3,well0009_day03_well.png,1,4,well0009_day04_well.png,1,5,well0009_day05_well.png,0,6,well0009_day06_well.png,0,7,well0009_day07_well.png,1,8,well0009_day08_well.png,0,9,well0009_day09_well.png,1,10,well0009_day10_well.png,0,11,well0009_day11_well.png,0,12,well0009_day12_well.png,0,13,well0009_day13_well.png,1
7,A1,10,0,0010,well0010_day00_well.png,0,1,well0010_day01_well.png,0,2,well0010_day02_well.png,0,3,well0010_day03_well.png,0,4,well0010_day04_well.png,0,5,well0010_day05_well.png,0,6,well0010_day06_well.png,0,7,well0010_day07_well.png,0,8,well0010_day08_well.png,0,9,well0010_day09_well.png,0,10,well0010_day10_well.png,0,11,well0010_day11_well.png,0,12,well0010_day12_well.png,1,13,well0010_day13_well.png,1
8,A1,11,0,0011,well0011_day00_well.png,1,1,well0011_day01_well.png,1,2,well0011_day02_well.png,1,3,well0011_day03_well.png,1,4,well0011_day04_well.png,1,5,well0011_day05_well.png,1,6,well0011_day06_well.png,1,7,well0011_day07_well.png,1,8,well0011_day08_well.png,1,9,well0011_day09_well.png,1,10,well0011_day10_well.png,1,11,well0011_day11_well.png,1,12,well0011_day12_well.png,1,13,well0011_day13_well.png,1
9,A1,12,0,0012,well0012_day00_well.png,0,1,well0012_day01_well.png,0,2,well0012_day02_well.png,0,3,well0012_day03_well.png,0,4,well0012_day04_well.png,0,5,well0012_day05_well.png,0,6,well0012_day06_well.png,0,7,well0012_day07_well.png,0,8,well0012_day08_well.png,0,9,well0012_day09_well.png,0,10,well0012_day10_well.png,0,11,well0012_day11_well.png,0,12,well0012_day12_well.png,1,13,well0012_day13_well.png,1
