,condition,well_id,day_0,well_label,image_name_0,has_cell_0,hyst2_area_0,day_1,image_name_1,has_cell_1,hyst2_area_1,day_2,image_name_2,has_cell_2,hyst2_area_2,day_3,image_name_3,has_cell_3,hyst2_area_3,day_4,image_name_4,has_cell_4,hyst2_area_4,day_5,image_name_5,has_cell_5,hyst2_area_5,day_6,image_name_6,has_cell_6,hyst2_area_6,day_7,image_name_7,has_cell_7,hyst2_area_7,day_8,image_name_8,has_cell_8,hyst2_area_8,day_9,image_name_9,has_cell_9,hyst2_area_9,day_10,image_name_10,has_cell_10,hyst2_area_10,day_11,image_name_11,has_cell_11,hyst2_area_11,day_12,image_name_12,has_cell_12,hyst2_area_12,day_13,image_name_13,has_cell_13,hyst2_area_13
0,A1,64,0,0064,well_A1/well0064_day00_well.png,0,0,1,well_A1/well0064_day01_well.png,0,0,2,well_A1/well0064_day02_well.png,0,0,3,well_A1/well0064_day03_well.png,0,0,4,well_A1/well0064_day04_well.png,0,0,5,well_A1/well0064_day05_well.png,0,0,6,well_A1/well0064_day06_well.png,0,0,7,well_A1/well0064_day07_well.png,0,0,8,well_A1/well0064_day08_well.png,0,0,9,well_A1/well0064_day09_well.png,0,0,10,well_A1/well0064_day10_well.png,0,0,11,well_A1/well0064_day11_well.png,0,0,12,well_A1/well0064_day12_well.png,0,0,13,well_A1/well0064_day13_well.png,1,172
1,A1,3133,0,3133,well_A1/well3133_day00_well.png,0,0,1,well_A1/well3133_day01_well.png,0,0,2,well_A1/well3133_day02_well.png,0,0,3,well_A1/well3133_day03_well.png,0,0,4,well_A1/well3133_day04_well.png,0,0,5,well_A1/well3133_day05_well.png,0,0,6,well_A1/well3133_day06_well.png,0,0,7,well_A1/well3133_day07_well.png,0,0,8,well_A1/well3133_day08_well.png,0,0,9,well_A1/well3133_day09_well.png,0,0,10,well_A1/well3133_day10_well.png,0,0,11,well_A1/well3133_day11_well.png,1,55,12,well_A1/well3133_day12_well.png,1,121,13,well_A1/well3133_day13_well.png,0,0
2,A2,977,0,0977,well_A2/well0977_day00_well.png,1,2568,1,well_A2/well0977_day01_well.png,1,3162,2,well_A2/well0977_day02_well.png,1,3019,3,well_A2/well0977_day03_well.png,1,3241,4,well_A2/well0977_day04_well.png,1,2872,5,well_A2/well0977_day05_well.png,1,3011,6,well_A2/well0977_day06_well.png,1,2676,7,well_A2/well0977_day07_well.png,1,2832,8,well_A2/well0977_day08_well.png,1,2612,9,well_A2/well0977_day09_well.png,1,2716,10,well_A2/well0977_day10_well.png,1,2868,11,well_A2/well0977_day11_well.png,1,3227,12,well_A2/well0977_day12_well.png,1,3063,13,well_A2/well0977_day13_well.png,1,3194
3,A2,253,0,0253,well_A2/well0253_day00_well.png,1,2884,1,well_A2/well0253_day01_well.png,1,3189,2,well_A2/well0253_day02_well.png,1,3019,3,well_A2/well0253_day03_well.png,1,3286,4,well_A2/well0253_day04_well.png,1,2988,5,well_A2/well0253_day05_well.png,1,3258,6,well_A2/well0253_day06_well.png,1,3102,7,well_A2/well0253_day07_well.png,1,2501,8,well_A2/well0253_day08_well.png,1,2846,9,well_A2/well0253_day09_well.png,1,2979,10,well_A2/well0253_day10_well.png,1,2935,11,well_A2/well0253_day11_well.png,1,2880,12,well_A2/well0253_day12_well.png,1,3224,13,well_A2/well0253_day13_well.png,1,3302
4,A1,3619,0,3619,well_A1/well3619_day00_well.png,1,287,1,well_A1/well3619_day01_well.png,0,0,2,well_A1/well3619_day02_well.png,0,0,3,well_A1/well3619_day03_well.png,0,0,4,well_A1/well3619_day04_well.png,0,0,5,well_A1/well3619_day05_well.png,0,0,6,well_A1/well3619_day06_well.png,0,0,7,well_A1/well3619_day07_well.png,0,0,8,well_A1/well3619_day08_well.png,1,192,9,well_A1/well3619_day09_well.png,0,0,10,well_A1/well3619_day10_well.png,0,0,11,well_A1/well3619_day11_well.png,0,0,12,well_A1/well3619_day12_well.png,0,0,13,well_A1/well3619_day13_well.png,0,0
5,C1,115,0,0115,well_C1/well0115_day00_well.png,1,1654,1,well_C1/well0115_day01_well.png,1,93,2,well_C1/well0115_day02_well.png,0,0,3,well_C1/well0115_day03_well.png,1,2258,4,well_C1/well0115_day04_well.png,0,0,5,well_C1/well0115_day05_well.png,1,77,6,well_C1/well0115_day06_well.png,0,0,7,well_C1/well0115_day07_well.png,0,0,8,well_C1/well0115_day08_well.png,0,0,9,well_C1/well0115_day09_well.png,0,0,10,well_C1/well0115_day10_well.png,0,0,11,well_C1/well0115_day11_well.png,0,0,12,well_C1/well0115_day12_well.png,0,0,13,well_C1/well0115_day13_well.png,0,0
6,A1,1246,0,1246,well_A1/well1246_day00_well.png,0,0,1,well_A1/well1246_day01_well.png,0,0,2,well_A1/well1246_day02_well.png,1,25,3,well_A1/well1246_day03_well.png,1,84,4,well_A1/well1246_day04_well.png,1,266,5,well_A1/well1246_day05_well.png,1,402,6,well_A1/well1246_day06_well.png,0,0,7,well_A1/well1246_day07_well.png,0,0,8,well_A1/well1246_day08_well.png,0,0,9,well_A1/well1246_day09_well.png,1,599,10,well_A1/well1246_day10_well.png,0,0,11,well_A1/well1246_day11_well.png,1,61,12,well_A1/well1246_day12_well.png,1,237,13,well_A1/well1246_day13_well.png,0,0
7,C1,607,0,0607,well_C1/well0607_day00_well.png,0,0,1,well_C1/well0607_day01_well.png,0,0,2,well_C1/well0607_day02_well.png,0,0,3,well_C1/well0607_day03_well.png,0,0,4,well_C1/well0607_day04_well.png,0,0,5,well_C1/well0607_day05_well.png,0,0,6,well_C1/well0607_day06_well.png,0,0,7,well_C1/well0607_day07_well.png,0,0,8,well_C1/well0607_day08_well.png,0,0,9,well_C1/well0607_day09_well.png,0,0,10,well_C1/well0607_day10_well.png,1,1303,11,well_C1/well0607_day11_well.png,0,0,12,well_C1/well0607_day12_well.png,0,0,13,well_C1/well0607_day13_well.png,0,0
8,A2,1190,0,1190,well_A2/well1190_day00_well.png,0,0,1,well_A2/well1190_day01_well.png,0,0,2,well_A2/well1190_day02_well.png,0,0,3,well_A2/well1190_day03_well.png,0,0,4,well_A2/well1190_day04_well.png,0,0,5,well_A2/well1190_day05_well.png,0,0,6,well_A2/well1190_day06_well.png,0,0,7,well_A2/well1190_day07_well.png,0,0,8,well_A2/well1190_day08_well.png,0,0,9,well_A2/well1190_day09_well.png,0,0,10,well_A2/well1190_day10_well.png,0,0,11,well_A2/well1190_day11_well.png,1,141,12,well_A2/well1190_day12_well.png,1,122,13,well_A2/well1190_day13_well.png,1,262
9,A1,696,0,0696,well_A1/well0696_day00_well.png,0,0,1,well_A1/well0696_day01_well.png,1,494,2,well_A1/well0696_day02_well.png,0,0,3,well_A1/well0696_day03_well.png,0,0,4,well_A1/well0696_day04_well.png,0,0,5,well_A1/well0696_day05_well.png,0,0,6,well_A1/well0696_day06_well.png,0,0,7,well_A1/well0696_day07_well.png,0,0,8,well_A1/well0696_day08_well.png,0,0,9,well_A1/well0696_day09_well.png,0,0,10,well_A1/well0696_day10_well.png,0,0,11,well_A1/well0696_day11_well.png,0,0,12,well_A1/well0696_day12_well.png,0,0,13,well_A1/well0696_day13_well.png,1,212
