,well_id_1,day_1,median_pixel_intensity_1,mw_area_shape_1,original_hyst1_area_1,original_hyst2_area_1,image_name_1,well_label,well_id_13,day_13,median_pixel_intensity_13,mw_area_shape_13,original_hyst1_area_13,original_hyst2_area_13,image_name_13,hyst2_area_13
0,1716,1,123.0,7917,65,0,well1716_day01_well.png,1716,1716,13,132.0,6162,58,0,well1716_day13_well.png,0.0
1,1775,1,123.0,8370,64,0,well1775_day01_well.png,1775,1775,13,131.0,8190,750,440,well1775_day13_well.png,0.3459934948323234
2,4606,1,117.0,8463,78,0,well4606_day01_well.png,4606,4606,13,126.0,8550,495,44,well4606_day13_well.png,0.03459934948323234
3,4240,1,117.0,8277,57,0,well4240_day01_well.png,4240,4240,13,128.0,8648,86,0,well4240_day13_well.png,0.0
4,1911,1,126.0,8550,62,0,well1911_day01_well.png,1911,1911,13,136.0,7138,5,0,well1911_day13_well.png,0.0
5,2954,1,117.0,8827,101,0,well2954_day01_well.png,2954,2954,13,127.0,9898,519,346,well2954_day13_well.png,0.27207670275450885
6,2307,1,121.0,8190,42,0,well2307_day01_well.png,2307,2307,13,128.0,8352,256,107,well2307_day13_well.png,0.08413932715240591
7,1103,1,136.0,6966,39,0,well1103_day01_well.png,1103,1103,13,133.0,7138,141,0,well1103_day13_well.png,0.0
8,939,1,133.0,7224,304,204,well0939_day01_well.png,0939,939,13,133.0,9690,238,0,well0939_day13_well.png,0.0
9,4439,1,117.0,9090,542,451,well4439_day01_well.png,4439,4439,13,127.0,8550,2272,2226,well4439_day13_well.png,1.7504125443107996
10,3219,1,116.0,9191,23,0,well3219_day01_well.png,3219,3219,13,125.0,8455,292,108,well3219_day13_well.png,0.08492567600429755
11,1737,1,121.0,8099,1443,1301,well1737_day01_well.png,1737,1737,13,130.0,9700,303,58,well1737_day13_well.png,0.04560823340971535
12,2267,1,122.0,8178,12,0,well2267_day01_well.png,2267,2267,13,129.0,8178,29,0,well2267_day13_well.png,0.0
13,3098,1,116.0,7820,20,0,well3098_day01_well.png,3098,3098,13,126.0,9345,26,0,well3098_day13_well.png,0.0
14,2170,1,121.0,8277,460,25,well2170_day01_well.png,2170,2170,13,127.0,8100,1484,1387,well2170_day13_well.png,1.0906658575737103
15,893,1,136.0,7480,204,148,well0893_day01_well.png,0893,893,13,138.0,10400,1130,830,well0893_day13_well.png,0.6526695470700645
16,3905,1,119.0,8448,34,0,well3905_day01_well.png,3905,3905,13,128.0,8640,80,0,well3905_day13_well.png,0.0
17,2090,1,124.0,8184,329,102,well2090_day01_well.png,2090,2090,13,130.0,8740,168,0,well2090_day13_well.png,0.0
18,4460,1,117.0,7920,25,0,well4460_day01_well.png,4460,4460,13,127.0,8188,20,0,well4460_day13_well.png,0.0
19,3613,1,116.0,7480,17,0,well3613_day01_well.png,3613,3613,13,125.0,8178,194,83,well3613_day13_well.png,0.06526695470700646
20,4342,1,117.0,8010,4,0,well4342_day01_well.png,4342,4342,13,126.0,8554,20,0,well4342_day13_well.png,0.0
21,2441,1,119.0,8004,9,0,well2441_day01_well.png,2441,2441,13,131.0,9025,78,0,well2441_day13_well.png,0.0
22,1877,1,121.0,8463,8,0,well1877_day01_well.png,1877,1877,13,125.0,8554,718,663,well1877_day13_well.png,0.52134928880416
23,247,1,147.0,7744,172,0,well0247_day01_well.png,0247,247,13,147.0,7920,201,0,well0247_day13_well.png,0.0
24,920,1,138.0,7224,978,709,well0920_day01_well.png,0920,920,13,139.0,7480,36,0,well0920_day13_well.png,0.0
25,4605,1,118.0,8190,142,0,well4605_day01_well.png,4605,4605,13,127.0,8835,989,327,well4605_day13_well.png,0.2571360745685676
26,3363,1,118.0,8277,65,0,well3363_day01_well.png,3363,3363,13,128.0,9919,118,0,well3363_day13_well.png,0.0
27,2175,1,118.0,8190,246,0,well2175_day01_well.png,2175,2175,13,129.0,8277,655,544,well2175_day13_well.png,0.4277737754290543
28,3532,1,117.0,8004,146,100,well3532_day01_well.png,3532,3532,13,126.0,8460,213,0,well3532_day13_well.png,0.0
29,79,1,140.0,8500,26,0,well0079_day01_well.png,0079,79,13,138.0,7225,83,0,well0079_day13_well.png,0.0
30,531,1,143.0,7832,29,0,well0531_day01_well.png,0531,531,13,143.0,7830,34,0,well0531_day13_well.png,0.0
31,838,1,137.0,7310,21,0,well0838_day01_well.png,0838,838,13,137.0,7568,1273,1093,well0838_day13_well.png,0.8594792951175669
32,1349,1,129.0,8463,36,0,well1349_day01_well.png,1349,1349,13,132.0,6557,5,0,well1349_day13_well.png,0.0
33,2841,1,117.0,8099,657,458,well2841_day01_well.png,2841,2841,13,129.0,8835,18,0,well2841_day13_well.png,0.0
34,2309,1,119.0,8370,13,0,well2309_day01_well.png,2309,2309,13,128.0,8463,442,262,well2309_day13_well.png,0.20602339919561072
35,809,1,138.0,11227,2012,1186,well0809_day01_well.png,0809,809,13,139.0,7568,1176,804,well0809_day13_well.png,0.6322244769208818
36,3429,1,118.0,8184,223,153,well3429_day01_well.png,3429,3429,13,127.0,9450,460,0,well3429_day13_well.png,0.0
37,2192,1,120.0,8277,40,0,well2192_day01_well.png,2192,2192,13,129.0,9752,50,0,well2192_day13_well.png,0.0
38,4562,1,117.0,8099,5,0,well4562_day01_well.png,4562,4562,13,125.0,8554,347,280,well4562_day13_well.png,0.22017767852966033
39,4266,1,117.0,8004,14,0,well4266_day01_well.png,4266,4266,13,126.0,8544,34,0,well4266_day13_well.png,0.0
40,1709,1,129.0,8455,643,320,well1709_day01_well.png,1709,1709,13,136.0,7055,286,0,well1709_day13_well.png,0.0
41,4218,1,118.0,9000,532,149,well4218_day01_well.png,4218,4218,13,127.0,8360,2243,2116,well4218_day13_well.png,1.6639141706027187
42,2632,1,120.0,8008,6,0,well2632_day01_well.png,2632,2632,13,130.0,8280,202,117,well2632_day13_well.png,0.09200281567132235
43,2446,1,119.0,7917,35,0,well2446_day01_well.png,2446,2446,13,131.0,8645,344,207,well2446_day13_well.png,0.1627742123415703
44,2410,1,120.0,10098,216,169,well2410_day01_well.png,2410,2410,13,132.0,6156,772,648,well2410_day13_well.png,0.5095540560257853
45,1344,1,136.0,6889,67,0,well1344_day01_well.png,1344,1344,13,135.0,6888,111,0,well1344_day13_well.png,0.0
46,3812,1,123.0,8190,38,0,well3812_day01_well.png,3812,3812,13,131.0,8740,1017,655,well3812_day13_well.png,0.5150584979890268
47,4786,1,117.0,9486,384,102,well4786_day01_well.png,4786,4786,13,126.0,8455,1240,815,well4786_day13_well.png,0.6408743142916898
48,3357,1,117.0,8190,0,0,well3357_day01_well.png,3357,3357,13,126.0,10605,705,581,well3357_day13_well.png,0.45686868294904515
49,3759,1,116.0,7480,8,0,well3759_day01_well.png,3759,3759,13,128.0,8554,90,0,well3759_day13_well.png,0.0
50,1586,1,134.0,6804,35,0,well1586_day01_well.png,1586,1586,13,135.0,8200,1534,1351,well1586_day13_well.png,1.0623572989056111
