,condition,well_id,day_0,well_label,image_name_0,has_cell_0,day_1,image_name_1,has_cell_1,day_2,image_name_2,has_cell_2,day_3,image_name_3,has_cell_3,day_4,image_name_4,has_cell_4,day_5,image_name_5,has_cell_5,day_6,image_name_6,has_cell_6,day_7,image_name_7,has_cell_7,day_8,image_name_8,has_cell_8,day_9,image_name_9,has_cell_9,day_10,image_name_10,has_cell_10,day_11,image_name_11,has_cell_11,day_12,image_name_12,has_cell_12,day_13,image_name_13,has_cell_13
0,C1,2626,0,2626,well2626_day00_well.png,0,1,well2626_day01_well.png,0,2,well2626_day02_well.png,0,3,well2626_day03_well.png,0,4,well2626_day04_well.png,0,5,well2626_day05_well.png,0,6,well2626_day06_well.png,0,7,well2626_day07_well.png,0,8,well2626_day08_well.png,0,9,well2626_day09_well.png,0,10,well2626_day10_well.png,0,11,well2626_day11_well.png,0,12,well2626_day12_well.png,0,13,well2626_day13_well.png,0
1,A2,219,0,0219,well0219_day00_well.png,1,1,well0219_day01_well.png,1,2,well0219_day02_well.png,1,3,well0219_day03_well.png,1,4,well0219_day04_well.png,1,5,well0219_day05_well.png,1,6,well0219_day06_well.png,1,7,well0219_day07_well.png,1,8,well0219_day08_well.png,1,9,well0219_day09_well.png,1,10,well0219_day10_well.png,1,11,well0219_day11_well.png,1,12,well0219_day12_well.png,1,13,well0219_day13_well.png,1
2,C1,271,0,0271,well0271_day00_well.png,1,1,well0271_day01_well.png,1,2,well0271_day02_well.png,1,3,well0271_day03_well.png,1,4,well0271_day04_well.png,1,5,well0271_day05_well.png,1,6,well0271_day06_well.png,1,7,well0271_day07_well.png,1,8,well0271_day08_well.png,1,9,well0271_day09_well.png,1,10,well0271_day10_well.png,1,11,well0271_day11_well.png,1,12,well0271_day12_well.png,1,13,well0271_day13_well.png,1
3,C1,1809,0,1809,well1809_day00_well.png,0,1,well1809_day01_well.png,0,2,well1809_day02_well.png,0,3,well1809_day03_well.png,0,4,well1809_day04_well.png,0,5,well1809_day05_well.png,0,6,well1809_day06_well.png,0,7,well1809_day07_well.png,0,8,well1809_day08_well.png,0,9,well1809_day09_well.png,0,10,well1809_day10_well.png,0,11,well1809_day11_well.png,1,12,well1809_day12_well.png,0,13,well1809_day13_well.png,0
4,C1,1646,0,1646,well1646_day00_well.png,0,1,well1646_day01_well.png,0,2,well1646_day02_well.png,1,3,well1646_day03_well.png,0,4,well1646_day04_well.png,0,5,well1646_day05_well.png,1,6,well1646_day06_well.png,1,7,well1646_day07_well.png,0,8,well1646_day08_well.png,0,9,well1646_day09_well.png,0,10,well1646_day10_well.png,0,11,well1646_day11_well.png,0,12,well1646_day12_well.png,0,13,well1646_day13_well.png,0
5,C1,2862,0,2862,well2862_day00_well.png,1,1,well2862_day01_well.png,0,2,well2862_day02_well.png,0,3,well2862_day03_well.png,0,4,well2862_day04_well.png,0,5,well2862_day05_well.png,0,6,well2862_day06_well.png,0,7,well2862_day07_well.png,0,8,well2862_day08_well.png,0,9,well2862_day09_well.png,0,10,well2862_day10_well.png,0,11,well2862_day11_well.png,0,12,well2862_day12_well.png,0,13,well2862_day13_well.png,1
6,C1,118,0,0118,well0118_day00_well.png,0,1,well0118_day01_well.png,0,2,well0118_day02_well.png,0,3,well0118_day03_well.png,0,4,well0118_day04_well.png,0,5,well0118_day05_well.png,0,6,well0118_day06_well.png,1,7,well0118_day07_well.png,0,8,well0118_day08_well.png,0,9,well0118_day09_well.png,0,10,well0118_day10_well.png,0,11,well0118_day11_well.png,0,12,well0118_day12_well.png,0,13,well0118_day13_well.png,0
7,C1,2213,0,2213,well2213_day00_well.png,1,1,well2213_day01_well.png,1,2,well2213_day02_well.png,0,3,well2213_day03_well.png,1,4,well2213_day04_well.png,1,5,well2213_day05_well.png,1,6,well2213_day06_well.png,0,7,well2213_day07_well.png,1,8,well2213_day08_well.png,1,9,well2213_day09_well.png,1,10,well2213_day10_well.png,0,11,well2213_day11_well.png,1,12,well2213_day12_well.png,0,13,well2213_day13_well.png,0
8,C1,3156,0,3156,well3156_day00_well.png,1,1,well3156_day01_well.png,0,2,well3156_day02_well.png,0,3,well3156_day03_well.png,0,4,well3156_day04_well.png,0,5,well3156_day05_well.png,0,6,well3156_day06_well.png,0,7,well3156_day07_well.png,0,8,well3156_day08_well.png,0,9,well3156_day09_well.png,0,10,well3156_day10_well.png,0,11,well3156_day11_well.png,0,12,well3156_day12_well.png,0,13,well3156_day13_well.png,0
9,C1,1576,0,1576,well1576_day00_well.png,1,1,well1576_day01_well.png,1,2,well1576_day02_well.png,0,3,well1576_day03_well.png,0,4,well1576_day04_well.png,1,5,well1576_day05_well.png,1,6,well1576_day06_well.png,0,7,well1576_day07_well.png,1,8,well1576_day08_well.png,1,9,well1576_day09_well.png,1,10,well1576_day10_well.png,0,11,well1576_day11_well.png,1,12,well1576_day12_well.png,1,13,well1576_day13_well.png,1
10,C1,487,0,0487,well0487_day00_well.png,0,1,well0487_day01_well.png,0,2,well0487_day02_well.png,0,3,well0487_day03_well.png,0,4,well0487_day04_well.png,0,5,well0487_day05_well.png,0,6,well0487_day06_well.png,0,7,well0487_day07_well.png,0,8,well0487_day08_well.png,0,9,well0487_day09_well.png,0,10,well0487_day10_well.png,0,11,well0487_day11_well.png,0,12,well0487_day12_well.png,0,13,well0487_day13_well.png,0
11,C1,981,0,0981,well0981_day00_well.png,0,1,well0981_day01_well.png,0,2,well0981_day02_well.png,0,3,well0981_day03_well.png,0,4,well0981_day04_well.png,0,5,well0981_day05_well.png,0,6,well0981_day06_well.png,0,7,well0981_day07_well.png,0,8,well0981_day08_well.png,0,9,well0981_day09_well.png,0,10,well0981_day10_well.png,0,11,well0981_day11_well.png,0,12,well0981_day12_well.png,0,13,well0981_day13_well.png,0
12,A2,2320,0,2320,well2320_day00_well.png,1,1,well2320_day01_well.png,1,2,well2320_day02_well.png,1,3,well2320_day03_well.png,1,4,well2320_day04_well.png,1,5,well2320_day05_well.png,1,6,well2320_day06_well.png,1,7,well2320_day07_well.png,1,8,well2320_day08_well.png,1,9,well2320_day09_well.png,1,10,well2320_day10_well.png,1,11,well2320_day11_well.png,1,12,well2320_day12_well.png,1,13,well2320_day13_well.png,1
13,C1,429,0,0429,well0429_day00_well.png,0,1,well0429_day01_well.png,0,2,well0429_day02_well.png,0,3,well0429_day03_well.png,0,4,well0429_day04_well.png,0,5,well0429_day05_well.png,0,6,well0429_day06_well.png,1,7,well0429_day07_well.png,0,8,well0429_day08_well.png,1,9,well0429_day09_well.png,0,10,well0429_day10_well.png,1,11,well0429_day11_well.png,1,12,well0429_day12_well.png,0,13,well0429_day13_well.png,0
14,C1,2098,0,2098,well2098_day00_well.png,1,1,well2098_day01_well.png,0,2,well2098_day02_well.png,0,3,well2098_day03_well.png,0,4,well2098_day04_well.png,0,5,well2098_day05_well.png,0,6,well2098_day06_well.png,0,7,well2098_day07_well.png,0,8,well2098_day08_well.png,0,9,well2098_day09_well.png,0,10,well2098_day10_well.png,0,11,well2098_day11_well.png,0,12,well2098_day12_well.png,0,13,well2098_day13_well.png,1
15,A2,1100,0,1100,well1100_day00_well.png,0,1,well1100_day01_well.png,0,2,well1100_day02_well.png,0,3,well1100_day03_well.png,0,4,well1100_day04_well.png,0,5,well1100_day05_well.png,0,6,well1100_day06_well.png,0,7,well1100_day07_well.png,0,8,well1100_day08_well.png,0,9,well1100_day09_well.png,0,10,well1100_day10_well.png,0,11,well1100_day11_well.png,1,12,well1100_day12_well.png,1,13,well1100_day13_well.png,1
16,C1,2903,0,2903,well2903_day00_well.png,0,1,well2903_day01_well.png,0,2,well2903_day02_well.png,0,3,well2903_day03_well.png,0,4,well2903_day04_well.png,0,5,well2903_day05_well.png,0,6,well2903_day06_well.png,0,7,well2903_day07_well.png,0,8,well2903_day08_well.png,0,9,well2903_day09_well.png,0,10,well2903_day10_well.png,0,11,well2903_day11_well.png,0,12,well2903_day12_well.png,1,13,well2903_day13_well.png,1
17,C1,836,0,0836,well0836_day00_well.png,0,1,well0836_day01_well.png,0,2,well0836_day02_well.png,0,3,well0836_day03_well.png,0,4,well0836_day04_well.png,0,5,well0836_day05_well.png,1,6,well0836_day06_well.png,1,7,well0836_day07_well.png,1,8,well0836_day08_well.png,1,9,well0836_day09_well.png,1,10,well0836_day10_well.png,1,11,well0836_day11_well.png,1,12,well0836_day12_well.png,1,13,well0836_day13_well.png,1
18,A2,963,0,0963,well0963_day00_well.png,1,1,well0963_day01_well.png,1,2,well0963_day02_well.png,1,3,well0963_day03_well.png,0,4,well0963_day04_well.png,0,5,well0963_day05_well.png,1,6,well0963_day06_well.png,1,7,well0963_day07_well.png,1,8,well0963_day08_well.png,1,9,well0963_day09_well.png,1,10,well0963_day10_well.png,1,11,well0963_day11_well.png,1,12,well0963_day12_well.png,1,13,well0963_day13_well.png,1
19,A2,2573,0,2573,well2573_day00_well.png,1,1,well2573_day01_well.png,1,2,well2573_day02_well.png,1,3,well2573_day03_well.png,1,4,well2573_day04_well.png,1,5,well2573_day05_well.png,0,6,well2573_day06_well.png,0,7,well2573_day07_well.png,0,8,well2573_day08_well.png,1,9,well2573_day09_well.png,0,10,well2573_day10_well.png,0,11,well2573_day11_well.png,1,12,well2573_day12_well.png,1,13,well2573_day13_well.png,1
20,C1,2667,0,2667,well2667_day00_well.png,0,1,well2667_day01_well.png,0,2,well2667_day02_well.png,0,3,well2667_day03_well.png,0,4,well2667_day04_well.png,0,5,well2667_day05_well.png,0,6,well2667_day06_well.png,0,7,well2667_day07_well.png,0,8,well2667_day08_well.png,0,9,well2667_day09_well.png,0,10,well2667_day10_well.png,0,11,well2667_day11_well.png,0,12,well2667_day12_well.png,0,13,well2667_day13_well.png,0
