,well_id_1,day_1,median_pixel_intensity_1,mw_area_shape_1,original_hyst1_area_1,original_hyst2_area_1,image_name_1,well_label,hyst1_area_1,hyst2_area_1,well_id_13,day_13,median_pixel_intensity_13,mw_area_shape_13,original_hyst1_area_13,original_hyst2_area_13,image_name_13,hyst1_area_13,hyst2_area_13
0,191,1,149.0,8091,18,0,well0191_day01_well.png,0191,0.016781021528116596,0.0,191,13,140.0,7310,51,0,well0191_day13_well.png,0.04754622766299702,0.0
1,1838,1,120.0,9408,43,0,well1838_day01_well.png,1838,0.04008799587272298,0.0,1838,13,126.0,8648,5531,4356,well1838_day13_well.png,5.156435004000716,3.425335598839991
2,3834,1,106.0,8099,184,0,well3834_day01_well.png,3834,0.171539331176303,0.0,3834,13,130.0,8366,128,87,well3834_day13_well.png,0.11933170864438469,0.06841235011457282
3,2506,1,120.0,8008,15,0,well2506_day01_well.png,2506,0.01398418460676383,0.0,2506,13,132.0,8464,25,0,well2506_day13_well.png,0.023306974344606386,0.0
4,1812,1,125.0,8640,1777,1612,well1812_day01_well.png,1812,1.6566597364146218,1.5839528647931866,1812,13,135.0,7221,1801,1567,well1812_day13_well.png,1.679034431785444,1.2322086509142025
5,4519,1,116.0,8554,392,370,well4519_day01_well.png,4519,0.36545335772342813,0.3635623821175429,4519,13,128.0,9384,614,330,well4519_day13_well.png,0.5724192899035329,0.2594951211242417
6,2726,1,119.0,8277,9,0,well2726_day01_well.png,2726,0.008390510764058298,0.0,2726,13,129.0,9844,207,0,well2726_day13_well.png,0.19298174757334086,0.0
7,556,1,142.0,7304,50,0,well0556_day01_well.png,0556,0.04661394868921277,0.0,556,13,139.0,7304,181,0,well0556_day13_well.png,0.16874249425495022,0.0
8,4760,1,117.0,9306,505,103,well4760_day01_well.png,4760,0.47080088176104895,0.10120790637326194,4760,13,127.0,8184,701,198,well4760_day13_well.png,0.6535275606227631,0.15569707267454505
9,3934,1,91.0,10816,843,291,well3934_day01_well.png,3934,0.7859111749001273,0.2859369005302837,3934,13,104.0,9212,207,0,well3934_day13_well.png,0.19298174757334086,0.0
10,1071,1,131.0,7224,38,0,well1071_day01_well.png,1071,0.035426601003801704,0.0,1071,13,130.0,8178,462,287,well1071_day13_well.png,0.430712885888326,0.22568212049290115
11,2533,1,122.0,8280,111,0,well2533_day01_well.png,2533,0.10348296609005235,0.0,2533,13,133.0,8366,451,303,well2533_day13_well.png,0.42045781717669917,0.23826370212316741
12,511,1,144.0,7740,154,0,well0511_day01_well.png,0511,0.14357096196277533,0.0,511,13,141.0,7830,677,174,well0511_day13_well.png,0.6311528652519409,0.13682470022914564
13,412,1,145.0,8178,451,418,well0412_day01_well.png,0412,0.42045781717669917,0.41072723168954844,412,13,142.0,7392,475,376,well0412_day13_well.png,0.4428325125475213,0.2956671683112572
14,3746,1,122.0,7830,16,0,well3746_day01_well.png,3746,0.014916463580548087,0.0,3746,13,132.0,8645,166,0,well3746_day13_well.png,0.1547583096481864,0.0
15,3730,1,121.0,8096,26,0,well3730_day01_well.png,3730,0.02423925331839064,0.0,3730,13,132.0,8900,85,0,well3730_day13_well.png,0.07924371277166171,0.0
16,4679,1,119.0,8280,8,0,well4679_day01_well.png,4679,0.007458231790274043,0.0,4679,13,81.0,11877,8906,8458,well4679_day13_well.png,8.302876540522579,6.650938589299505
17,710,1,143.0,7826,346,0,well0710_day01_well.png,0710,0.32256852492935234,0.0,710,13,147.0,7920,1236,644,well0710_day13_well.png,1.1522968115973398,0.5064086606182172
18,755,1,139.0,8649,140,0,well0755_day01_well.png,0755,0.13051905632979574,0.0,755,13,141.0,7565,1408,1248,well0755_day13_well.png,1.3126487950882315,0.9813633671607688
19,3735,1,118.0,7917,17,0,well3735_day01_well.png,3735,0.015848742554332343,0.0,3735,13,130.0,9384,48,0,well3735_day13_well.png,0.04474939074164426,0.0
20,3578,1,118.0,8188,376,337,well3578_day01_well.png,3578,0.35053689414288003,0.33113654803678905,3578,13,127.0,8280,51,0,well3578_day13_well.png,0.04754622766299702,0.0
